thoigian,pe
2024 Q1,15.61378933
2023 Q4,12.46565631
2023 Q3,12.74435862
2023 Q2,14.60544858
2023 Q1,13.99095996
2022 Q4,12.66551982
2022 Q3,12.28624777
2022 Q2,12.64574321
2022 Q1,14.33242941
2021 Q4,13.3402796
2021 Q3,17.06205756
2021 Q2,21.03282395
2021 Q1,16.60383247
2020 Q4,19.67881757
2020 Q3,18.15952808
2020 Q2,16.33346175
2020 Q1,12.7860288
2019 Q4,18.06968125
2019 Q3,15.57082874
2019 Q2,14.91366354
2019 Q1,15.41847758
2024 Q2,14.28999507
